"Código","Unidade Territorial","UF","Referência","Taxa de Atualização Cadastral (TAC) para cálculo do Índice de Gestão Descentralizada do Município (IGD-M)"
"310445","ARICANDUVA","MG","12/2020","85.84"
"310450","ARINOS","MG","12/2020","81.52"
"310460","ASTOLFO DUTRA","MG","12/2020","76.71"
"310470","ATALÉIA","MG","12/2020","79.63"
"310480","AUGUSTO DE LIMA","MG","12/2020","79.29"
"310490","BAEPENDI","MG","12/2020","81.33"
"310500","BALDIM","MG","12/2020","75.32"
"310510","BAMBUÍ","MG","12/2020","81.43"
"310520","BANDEIRA","MG","12/2020","79.17"
"310530","BANDEIRA DO SUL","MG","12/2020","79.86"
"310540","BARÃO DE COCAIS","MG","12/2020","77.86"
"310550","BARÃO DE MONTE ALTO","MG","12/2020","84.08"
"310560","BARBACENA","MG","12/2020","86.51"
"310570","BARRA LONGA","MG","12/2020","79.71"
"310590","BARROSO","MG","12/2020","87.21"
"310600","BELA VISTA DE MINAS","MG","12/2020","85.79"
"310610","BELMIRO BRAGA","MG","12/2020","75.83"
"310620","BELO HORIZONTE","MG","12/2020","80.01"
"310630","BELO ORIENTE","MG","12/2020","84.18"
"310640","BELO VALE","MG","12/2020","87.05"
"310650","BERILO","MG","12/2020","88.75"
"310660","BERTÓPOLIS","MG","12/2020","83.79"
"310665","BERIZAL","MG","12/2020","86.14"
"310670","BETIM","MG","12/2020","87.35"
"310680","BIAS FORTES","MG","12/2020","87.93"
"310690","BICAS","MG","12/2020","89.18"
"310700","BIQUINHAS","MG","12/2020","76.16"
"310710","BOA ESPERANÇA","MG","12/2020","85.77"
"310720","BOCAINA DE MINAS","MG","12/2020","87.00"
"310730","BOCAIÚVA","MG","12/2020","84.94"
"310740","BOM DESPACHO","MG","12/2020","89.02"
"310750","BOM JARDIM DE MINAS","MG","12/2020","78.70"
"310760","BOM JESUS DA PENHA","MG","12/2020","86.56"
"310770","BOM JESUS DO AMPARO","MG","12/2020","91.26"
"310780","BOM JESUS DO GALHO","MG","12/2020","83.93"
"310790","BOM REPOUSO","MG","12/2020","87.43"
"310800","BOM SUCESSO","MG","12/2020","80.61"
"310810","BONFIM","MG","12/2020","77.95"
"310820","BONFINÓPOLIS DE MINAS","MG","12/2020","89.09"
"310825","BONITO DE MINAS","MG","12/2020","90.37"
"310830","BORDA DA MATA","MG","12/2020","84.10"
"310840","BOTELHOS","MG","12/2020","79.82"
"310850","BOTUMIRIM","MG","12/2020","91.71"
"310855","BRASILÂNDIA DE MINAS","MG","12/2020","86.13"
"310860","BRASÍLIA DE MINAS","MG","12/2020","84.60"
"310870","BRÁS PIRES","MG","12/2020","87.80"
"310880","BRAÚNAS","MG","12/2020","85.41"
"310890","BRAZÓPOLIS","MG","12/2020","84.86"
"310900","BRUMADINHO","MG","12/2020","79.55"
"310910","BUENO BRANDÃO","MG","12/2020","88.77"
"310920","BUENÓPOLIS","MG","12/2020","80.24"
"310925","BUGRE","MG","12/2020","85.35"
"310930","BURITIS","MG","12/2020","81.18"
"310940","BURITIZEIRO","MG","12/2020","91.24"
"310945","CABECEIRA GRANDE","MG","12/2020","88.16"
"310950","CABO VERDE","MG","12/2020","87.65"
"310960","CACHOEIRA DA PRATA","MG","12/2020","75.89"
"310970","CACHOEIRA DE MINAS","MG","12/2020","82.93"
"310980","CACHOEIRA DOURADA","MG","12/2020","74.59"
"310990","CAETANÓPOLIS","MG","12/2020","81.61"
"311000","CAETÉ","MG","12/2020","80.81"
"311010","CAIANA","MG","12/2020","77.27"
"311020","CAJURI","MG","12/2020","98.75"
"311030","CALDAS","MG","12/2020","78.38"
"311040","CAMACHO","MG","12/2020","59.75"
"311050","CAMANDUCAIA","MG","12/2020","85.72"
"311060","CAMBUÍ","MG","12/2020","84.71"
"311070","CAMBUQUIRA","MG","12/2020","90.22"
"311080","CAMPANÁRIO","MG","12/2020","89.29"
"311090","CAMPANHA","MG","12/2020","89.55"
"311100","CAMPESTRE","MG","12/2020","83.94"
"311110","CAMPINA VERDE","MG","12/2020","86.69"
"311115","CAMPO AZUL","MG","12/2020","88.56"
"311120","CAMPO BELO","MG","12/2020","81.08"
"311130","CAMPO DO MEIO","MG","12/2020","78.79"
"311140","CAMPO FLORIDO","MG","12/2020","85.60"
"311150","CAMPOS ALTOS","MG","12/2020","82.14"
"311160","CAMPOS GERAIS","MG","12/2020","79.58"
"311170","CANAÃ","MG","12/2020","76.74"
"311180","CANÁPOLIS","MG","12/2020","79.49"
"311190","CANA VERDE","MG","12/2020","69.94"
"311200","CANDEIAS","MG","12/2020","82.74"
"311205","CANTAGALO","MG","12/2020","86.11"
"311210","CAPARAÓ","MG","12/2020","82.02"
"311220","CAPELA NOVA","MG","12/2020","74.18"
"311230","CAPELINHA","MG","12/2020","87.51"
"311240","CAPETINGA","MG","12/2020","84.85"
"311250","CAPIM BRANCO","MG","12/2020","88.54"
"311260","CAPINÓPOLIS","MG","12/2020","88.64"
"311265","CAPITÃO ANDRADE","MG","12/2020","86.41"
"311270","CAPITÃO ENÉAS","MG","12/2020","77.93"
"311280","CAPITÓLIO","MG","12/2020","70.77"
"311290","CAPUTIRA","MG","12/2020","85.39"
"311300","CARAÍ","MG","12/2020","83.91"
"311310","CARANAÍBA","MG","12/2020","80.34"
"311320","CARANDAÍ","MG","12/2020","94.39"
"311330","CARANGOLA","MG","12/2020","85.28"
"311340","CARATINGA","MG","12/2020","81.24"
"311350","CARBONITA","MG","12/2020","85.20"
"311360","CAREAÇU","MG","12/2020","84.03"
"311370","CARLOS CHAGAS","MG","12/2020","89.22"
"311380","CARMÉSIA","MG","12/2020","70.07"
"311390","CARMO DA CACHOEIRA","MG","12/2020","84.52"
"311400","CARMO DA MATA","MG","12/2020","85.00"
"311410","CARMO DE MINAS","MG","12/2020","82.84"
"311420","CARMO DO CAJURU","MG","12/2020","75.05"
"311430","CARMO DO PARANAÍBA","MG","12/2020","79.45"
"311440","CARMO DO RIO CLARO","MG","12/2020","89.04"
"311450","CARMÓPOLIS DE MINAS","MG","12/2020","69.62"
"311455","CARNEIRINHO","MG","12/2020","77.96"
"311460","CARRANCAS","MG","12/2020","82.24"
"311470","CARVALHÓPOLIS","MG","12/2020","85.93"
"311480","CARVALHOS","MG","12/2020","89.53"
"311490","CASA GRANDE","MG","12/2020","86.93"
"311500","CASCALHO RICO","MG","12/2020","83.64"
"311510","CÁSSIA","MG","12/2020","87.02"
"311520","CONCEIÇÃO DA BARRA DE MINAS","MG","12/2020","80.07"
"311530","CATAGUASES","MG","12/2020","82.61"
"311535","CATAS ALTAS","MG","12/2020","90.78"
"311540","CATAS ALTAS DA NORUEGA","MG","12/2020","84.66"
"311545","CATUJI","MG","12/2020","80.17"
"311547","CATUTI","MG","12/2020","85.97"
"311550","CAXAMBU","MG","12/2020","84.22"
"311560","CEDRO DO ABAETÉ","MG","12/2020","91.75"
"311570","CENTRAL DE MINAS","MG","12/2020","82.58"
"311580","CENTRALINA","MG","12/2020","84.04"
"311590","CHÁCARA","MG","12/2020","84.34"
"311600","CHALÉ","MG","12/2020","82.10"
"311610","CHAPADA DO NORTE","MG","12/2020","83.07"
"311615","CHAPADA GAÚCHA","MG","12/2020","91.33"
"311620","CHIADOR","MG","12/2020","84.73"
"311630","CIPOTÂNEA","MG","12/2020","90.03"
"311640","CLARAVAL","MG","12/2020","80.36"
"311650","CLARO DOS POÇÕES","MG","12/2020","79.29"
"311660","CLÁUDIO","MG","12/2020","87.70"
"311670","COIMBRA","MG","12/2020","79.81"
"311680","COLUNA","MG","12/2020","84.63"
"311690","COMENDADOR GOMES","MG","12/2020","89.91"
"311700","COMERCINHO","MG","12/2020","87.50"
"311710","CONCEIÇÃO DA APARECIDA","MG","12/2020","77.93"
"311720","CONCEIÇÃO DAS PEDRAS","MG","12/2020","79.93"
"311730","CONCEIÇÃO DAS ALAGOAS","MG","12/2020","73.55"
"311740","CONCEIÇÃO DE IPANEMA","MG","12/2020","67.64"
"311750","CONCEIÇÃO DO MATO DENTRO","MG","12/2020","91.89"
"311760","CONCEIÇÃO DO PARÁ","MG","12/2020","83.56"
"311770","CONCEIÇÃO DO RIO VERDE","MG","12/2020","85.41"
"311780","CONCEIÇÃO DOS OUROS","MG","12/2020","83.65"
"311783","CÔNEGO MARINHO","MG","12/2020","93.94"
"311787","CONFINS","MG","12/2020","87.45"
"311790","CONGONHAL","MG","12/2020","83.49"
"311800","CONGONHAS","MG","12/2020","87.26"
"311810","CONGONHAS DO NORTE","MG","12/2020","73.69"
"311820","CONQUISTA","MG","12/2020","81.94"
"311830","CONSELHEIRO LAFAIETE","MG","12/2020","75.89"
"311840","CONSELHEIRO PENA","MG","12/2020","88.42"
"311850","CONSOLAÇÃO","MG","12/2020","79.77"
"311860","CONTAGEM","MG","12/2020","84.07"
"311870","COQUEIRAL","MG","12/2020","80.71"
"311880","CORAÇÃO DE JESUS","MG","12/2020","80.05"
"311890","CORDISBURGO","MG","12/2020","86.15"
"311900","CORDISLÂNDIA","MG","12/2020","77.26"
"311910","CORINTO","MG","12/2020","85.67"
"311920","COROACI","MG","12/2020","81.41"
"311930","COROMANDEL","MG","12/2020","80.66"
"311940","CORONEL FABRICIANO","MG","12/2020","86.16"
"311950","CORONEL MURTA","MG","12/2020","91.32"
"311960","CORONEL PACHECO","MG","12/2020","72.65"
"311970","CORONEL XAVIER CHAVES","MG","12/2020","80.73"
"311980","CÓRREGO DANTA","MG","12/2020","77.13"
"311990","CÓRREGO DO BOM JESUS","MG","12/2020","83.33"
"311995","CÓRREGO FUNDO","MG","12/2020","83.89"
"312000","CÓRREGO NOVO","MG","12/2020","83.39"
"312010","COUTO DE MAGALHÃES DE MINAS","MG","12/2020","85.14"
"312015","CRISÓLITA","MG","12/2020","82.52"
"312020","CRISTAIS","MG","12/2020","87.60"
"312030","CRISTÁLIA","MG","12/2020","83.15"
"312040","CRISTIANO OTONI","MG","12/2020","96.82"
"312050","CRISTINA","MG","12/2020","79.00"
"312060","CRUCILÂNDIA","MG","12/2020","77.19"
"312070","CRUZEIRO DA FORTALEZA","MG","12/2020","86.66"
"312080","CRUZÍLIA","MG","12/2020","82.23"
"312083","CUPARAQUE","MG","12/2020","74.76"
"312087","CURRAL DE DENTRO","MG","12/2020","90.86"
"312090","CURVELO","MG","12/2020","88.26"
"312100","DATAS","MG","12/2020","85.35"
"312110","DELFIM MOREIRA","MG","12/2020","85.07"
"312120","DELFINÓPOLIS","MG","12/2020","83.14"
"312125","DELTA","MG","12/2020","92.52"
"312130","DESCOBERTO","MG","12/2020","87.51"
"312140","DESTERRO DE ENTRE RIOS","MG","12/2020","82.84"
"312150","DESTERRO DO MELO","MG","12/2020","88.12"
"312160","DIAMANTINA","MG","12/2020","83.63"
"312170","DIOGO DE VASCONCELOS","MG","12/2020","82.51"
"312180","DIONÍSIO","MG","12/2020","88.91"
"312190","DIVINÉSIA","MG","12/2020","84.08"
"312200","DIVINO","MG","12/2020","87.91"
"312210","DIVINO DAS LARANJEIRAS","MG","12/2020","78.83"
"312220","DIVINOLÂNDIA DE MINAS","MG","12/2020","82.44"
"312230","DIVINÓPOLIS","MG","12/2020","81.61"
"312235","DIVISA ALEGRE","MG","12/2020","87.60"
"312240","DIVISA NOVA","MG","12/2020","82.25"
"312245","DIVISÓPOLIS","MG","12/2020","79.02"
"312247","DOM BOSCO","MG","12/2020","80.81"
"312250","DOM CAVATI","MG","12/2020","89.84"
"312260","DOM JOAQUIM","MG","12/2020","73.25"
"312270","DOM SILVÉRIO","MG","12/2020","90.51"
"312280","DOM VIÇOSO","MG","12/2020","83.96"
"312290","DONA EUSÉBIA","MG","12/2020","85.20"
"312300","DORES DE CAMPOS","MG","12/2020","83.12"
"312310","DORES DE GUANHÃES","MG","12/2020","80.75"
"312320","DORES DO INDAIÁ","MG","12/2020","87.57"
"312330","DORES DO TURVO","MG","12/2020","84.86"
"312340","DORESÓPOLIS","MG","12/2020","87.97"
"312350","DOURADOQUARA","MG","12/2020","70.55"
"312352","DURANDÉ","MG","12/2020","74.53"
"312360","ELÓI MENDES","MG","12/2020","79.56"
"312370","ENGENHEIRO CALDAS","MG","12/2020","79.12"
"312380","ENGENHEIRO NAVARRO","MG","12/2020","82.66"
"312385","ENTRE FOLHAS","MG","12/2020","77.37"
"312390","ENTRE RIOS DE MINAS","MG","12/2020","89.30"
"312400","ERVÁLIA","MG","12/2020","78.80"
"312410","ESMERALDAS","MG","12/2020","80.96"
"312420","ESPERA FELIZ","MG","12/2020","79.70"
"312430","ESPINOSA","MG","12/2020","81.83"
"312440","ESPÍRITO SANTO DO DOURADO","MG","12/2020","78.17"
"312450","ESTIVA","MG","12/2020","84.74"
"312460","ESTRELA DALVA","MG","12/2020","85.91"
"312470","ESTRELA DO INDAIÁ","MG","12/2020","85.38"
"312480","ESTRELA DO SUL","MG","12/2020","82.12"
"312490","EUGENÓPOLIS","MG","12/2020","82.07"
"312500","EWBANK DA CÂMARA","MG","12/2020","88.88"
"312510","EXTREMA","MG","12/2020","84.22"
"312520","FAMA","MG","12/2020","64.39"
"312530","FARIA LEMOS","MG","12/2020","85.48"
"312540","FELÍCIO DOS SANTOS","MG","12/2020","83.13"
"312550","SÃO GONÇALO DO RIO PRETO","MG","12/2020","76.03"
"312560","FELISBURGO","MG","12/2020","82.44"
"312570","FELIXLÂNDIA","MG","12/2020","81.32"
"312580","FERNANDES TOURINHO","MG","12/2020","81.88"
"312590","FERROS","MG","12/2020","96.45"
"312595","FERVEDOURO","MG","12/2020","81.05"
"312600","FLORESTAL","MG","12/2020","79.83"
"312610","FORMIGA","MG","12/2020","87.41"
"312620","FORMOSO","MG","12/2020","88.79"
"312630","FORTALEZA DE MINAS","MG","12/2020","85.85"
"312640","FORTUNA DE MINAS","MG","12/2020","67.14"
"312650","FRANCISCO BADARÓ","MG","12/2020","85.15"
"312660","FRANCISCO DUMONT","MG","12/2020","85.02"
"312670","FRANCISCO SÁ","MG","12/2020","87.85"
"312675","FRANCISCÓPOLIS","MG","12/2020","83.94"
"312680","FREI GASPAR","MG","12/2020","87.10"
"312690","FREI INOCÊNCIO","MG","12/2020","93.62"
"312695","FREI LAGONEGRO","MG","12/2020","75.79"
"312700","FRONTEIRA","MG","12/2020","87.50"
"312705","FRONTEIRA DOS VALES","MG","12/2020","83.60"
"312707","FRUTA DE LEITE","MG","12/2020","87.04"
"312710","FRUTAL","MG","12/2020","82.12"
"312720","FUNILÂNDIA","MG","12/2020","86.09"
"312730","GALILÉIA","MG","12/2020","86.56"
"312733","GAMELEIRAS","MG","12/2020","86.97"
"312735","GLAUCILÂNDIA","MG","12/2020","80.37"
"312737","GOIABEIRA","MG","12/2020","75.81"
"312738","GOIANÁ","MG","12/2020","82.28"
"312740","GONÇALVES","MG","12/2020","81.14"
"312750","GONZAGA","MG","12/2020","87.81"
"312760","GOUVEIA","MG","12/2020","77.84"
"312770","GOVERNADOR VALADARES","MG","12/2020","81.46"
"312780","GRÃO MOGOL","MG","12/2020","78.66"
"312790","GRUPIARA","MG","12/2020","81.56"
"312800","GUANHÃES","MG","12/2020","83.82"
"312810","GUAPÉ","MG","12/2020","73.32"
"312820","GUARACIABA","MG","12/2020","75.42"
"312825","GUARACIAMA","MG","12/2020","81.12"
"312830","GUARANÉSIA","MG","12/2020","87.71"
"312840","GUARANI","MG","12/2020","88.59"
"312850","GUARARÁ","MG","12/2020","89.95"
"312860","GUARDA-MOR","MG","12/2020","76.25"
"312870","GUAXUPÉ","MG","12/2020","89.04"
"312880","GUIDOVAL","MG","12/2020","87.28"
"312890","GUIMARÂNIA","MG","12/2020","88.69"
"312900","GUIRICEMA","MG","12/2020","81.89"
"312910","GURINHATÃ","MG","12/2020","87.72"
"312920","HELIODORA","MG","12/2020","90.69"
"312930","IAPU","MG","12/2020","85.70"
"312940","IBERTIOGA","MG","12/2020","92.05"
"312950","IBIÁ","MG","12/2020","83.23"
"312960","IBIAÍ","MG","12/2020","87.69"
"312965","IBIRACATU","MG","12/2020","89.86"
"312970","IBIRACI","MG","12/2020","86.41"
"312980","IBIRITÉ","MG","12/2020","82.30"
"312990","IBITIÚRA DE MINAS","MG","12/2020","81.40"
"313000","IBITURUNA","MG","12/2020","83.23"
"313005","ICARAÍ DE MINAS","MG","12/2020","91.71"
"313010","IGARAPÉ","MG","12/2020","79.93"
"313020","IGARATINGA","MG","12/2020","89.64"
"313030","IGUATAMA","MG","12/2020","75.60"
"313040","IJACI","MG","12/2020","83.70"
"313050","ILICÍNEA","MG","12/2020","83.83"
"313055","IMBÉ DE MINAS","MG","12/2020","76.84"
"313060","INCONFIDENTES","MG","12/2020","75.63"
"313065","INDAIABIRA","MG","12/2020","78.08"
"313070","INDIANÓPOLIS","MG","12/2020","84.95"
"313080","INGAÍ","MG","12/2020","83.51"
"313090","INHAPIM","MG","12/2020","86.03"
"313100","INHAÚMA","MG","12/2020","79.54"
"313110","INIMUTABA","MG","12/2020","82.01"
"313115","IPABA","MG","12/2020","77.88"
"313120","IPANEMA","MG","12/2020","68.52"
"313130","IPATINGA","MG","12/2020","86.49"
"313140","IPIAÇU","MG","12/2020","77.18"
"313150","IPUIÚNA","MG","12/2020","82.49"
"313160","IRAÍ DE MINAS","MG","12/2020","86.11"
"313170","ITABIRA","MG","12/2020","85.78"
"313180","ITABIRINHA","MG","12/2020","74.60"
"313190","ITABIRITO","MG","12/2020","78.47"
"313200","ITACAMBIRA","MG","12/2020","85.10"
"313210","ITACARAMBI","MG","12/2020","86.89"
"313220","ITAGUARA","MG","12/2020","84.84"
"313230","ITAIPÉ","MG","12/2020","94.46"
"313240","ITAJUBÁ","MG","12/2020","77.71"
"313250","ITAMARANDIBA","MG","12/2020","81.26"
"313260","ITAMARATI DE MINAS","MG","12/2020","78.82"
"313270","ITAMBACURI","MG","12/2020","86.23"
"313280","ITAMBÉ DO MATO DENTRO","MG","12/2020","91.27"
"313290","ITAMOGI","MG","12/2020","84.84"
"313300","ITAMONTE","MG","12/2020","78.99"
"313310","ITANHANDU","MG","12/2020","83.76"
"313320","ITANHOMI","MG","12/2020","77.24"
"313330","ITAOBIM","MG","12/2020","90.80"
"313340","ITAPAGIPE","MG","12/2020","82.31"
"313350","ITAPECERICA","MG","12/2020","90.82"
"313360","ITAPEVA","MG","12/2020","81.15"
"313370","ITATIAIUÇU","MG","12/2020","82.75"
"313375","ITAÚ DE MINAS","MG","12/2020","81.05"
"313380","ITAÚNA","MG","12/2020","81.61"
"313390","ITAVERAVA","MG","12/2020","72.08"
"313400","ITINGA","MG","12/2020","83.11"
"313410","ITUETA","MG","12/2020","73.48"
"313420","ITUIUTABA","MG","12/2020","83.19"
"313430","ITUMIRIM","MG","12/2020","85.31"
"313440","ITURAMA","MG","12/2020","88.61"
"313450","ITUTINGA","MG","12/2020","88.61"
"313460","JABOTICATUBAS","MG","12/2020","79.48"
"313470","JACINTO","MG","12/2020","86.34"
"313480","JACUÍ","MG","12/2020","81.47"
"313490","JACUTINGA","MG","12/2020","91.69"
"313500","JAGUARAÇU","MG","12/2020","93.56"
"313505","JAÍBA","MG","12/2020","92.45"
"313507","JAMPRUCA","MG","12/2020","85.96"
"313510","JANAÚBA","MG","12/2020","84.47"
"313520","JANUÁRIA","MG","12/2020","83.93"
"313530","JAPARAÍBA","MG","12/2020","91.00"
"313535","JAPONVAR","MG","12/2020","82.41"
"313540","JECEABA","MG","12/2020","76.98"
"313545","JENIPAPO DE MINAS","MG","12/2020","89.30"
"313550","JEQUERI","MG","12/2020","81.88"
"313560","JEQUITAÍ","MG","12/2020","85.00"
"313570","JEQUITIBÁ","MG","12/2020","80.83"
"313580","JEQUITINHONHA","MG","12/2020","87.02"
"313590","JESUÂNIA","MG","12/2020","89.85"
"313600","JOAÍMA","MG","12/2020","91.64"
"313610","JOANÉSIA","MG","12/2020","89.50"
"313620","JOÃO MONLEVADE","MG","12/2020","81.25"
"313630","JOÃO PINHEIRO","MG","12/2020","82.35"
"313640","JOAQUIM FELÍCIO","MG","12/2020","84.76"
"313650","JORDÂNIA","MG","12/2020","76.32"
"313652","JOSÉ GONÇALVES DE MINAS","MG","12/2020","81.15"
"313655","JOSÉ RAYDAN","MG","12/2020","83.64"
"313657","JOSENÓPOLIS","MG","12/2020","84.47"
"313660","NOVA UNIÃO","MG","12/2020","82.39"
"313665","JUATUBA","MG","12/2020","86.19"
"313670","JUIZ DE FORA","MG","12/2020","84.88"
"313680","JURAMENTO","MG","12/2020","89.48"
"313690","JURUAIA","MG","12/2020","74.17"
"313695","JUVENÍLIA","MG","12/2020","86.42"
"313700","LADAINHA","MG","12/2020","88.24"
"313710","LAGAMAR","MG","12/2020","84.00"
"313720","LAGOA DA PRATA","MG","12/2020","81.51"
"313730","LAGOA DOS PATOS","MG","12/2020","83.83"
"313740","LAGOA DOURADA","MG","12/2020","80.59"
"313750","LAGOA FORMOSA","MG","12/2020","81.13"
"313753","LAGOA GRANDE","MG","12/2020","84.11"
"313760","LAGOA SANTA","MG","12/2020","80.58"
"313770","LAJINHA","MG","12/2020","90.92"
"313780","LAMBARI","MG","12/2020","84.98"
"313790","LAMIM","MG","12/2020","83.97"
"313800","LARANJAL","MG","12/2020","88.18"
"313810","LASSANCE","MG","12/2020","88.34"
"313820","LAVRAS","MG","12/2020","88.11"
"313830","LEANDRO FERREIRA","MG","12/2020","89.59"
"313835","LEME DO PRADO","MG","12/2020","85.46"
"313840","LEOPOLDINA","MG","12/2020","84.82"
"313850","LIBERDADE","MG","12/2020","81.85"
"313860","LIMA DUARTE","MG","12/2020","86.37"
"313862","LIMEIRA DO OESTE","MG","12/2020","78.82"
"313865","LONTRA","MG","12/2020","91.48"
"313867","LUISBURGO","MG","12/2020","87.00"
"313868","LUISLÂNDIA","MG","12/2020","91.09"
"313870","LUMINÁRIAS","MG","12/2020","80.28"
"313880","LUZ","MG","12/2020","87.79"
"313890","MACHACALIS","MG","12/2020","83.42"
"313900","MACHADO","MG","12/2020","85.96"
"313910","MADRE DE DEUS DE MINAS","MG","12/2020","78.11"
"313920","MALACACHETA","MG","12/2020","85.70"
"313925","MAMONAS","MG","12/2020","71.44"
"313930","MANGA","MG","12/2020","85.24"
"313940","MANHUAÇU","MG","12/2020","79.60"
"313950","MANHUMIRIM","MG","12/2020","85.34"
"313960","MANTENA","MG","12/2020","83.63"
"313970","MARAVILHAS","MG","12/2020","83.27"
"313980","MAR DE ESPANHA","MG","12/2020","79.61"
"313990","MARIA DA FÉ","MG","12/2020","85.70"
"314000","MARIANA","MG","12/2020","85.36"
"314010","MARILAC","MG","12/2020","91.04"
"314015","MÁRIO CAMPOS","MG","12/2020","73.22"
"314020","MARIPÁ DE MINAS","MG","12/2020","89.86"
"314030","MARLIÉRIA","MG","12/2020","79.31"
"314040","MARMELÓPOLIS","MG","12/2020","74.40"
"314050","MARTINHO CAMPOS","MG","12/2020","92.76"
"314053","MARTINS SOARES","MG","12/2020","85.14"
"314055","MATA VERDE","MG","12/2020","86.79"
"314060","MATERLÂNDIA","MG","12/2020","92.96"
"314070","MATEUS LEME","MG","12/2020","85.53"
"314080","MATIAS BARBOSA","MG","12/2020","91.44"
"314085","MATIAS CARDOSO","MG","12/2020","83.20"
"314090","MATIPÓ","MG","12/2020","91.21"
"314100","MATO VERDE","MG","12/2020","65.86"
"314110","MATOZINHOS","MG","12/2020","84.92"
"314120","MATUTINA","MG","12/2020","74.05"
"314130","MEDEIROS","MG","12/2020","76.13"
"314140","MEDINA","MG","12/2020","84.90"
"314150","MENDES PIMENTEL","MG","12/2020","86.74"
"314160","MERCÊS","MG","12/2020","77.38"
"314170","MESQUITA","MG","12/2020","83.06"
"314180","MINAS NOVAS","MG","12/2020","85.06"
"314190","MINDURI","MG","12/2020","75.60"
"314200","MIRABELA","MG","12/2020","79.21"
"314210","MIRADOURO","MG","12/2020","81.67"
"314220","MIRAÍ","MG","12/2020","81.11"
"314225","MIRAVÂNIA","MG","12/2020","80.02"
"314230","MOEDA","MG","12/2020","88.18"
"314240","MOEMA","MG","12/2020","82.97"
"314250","MONJOLOS","MG","12/2020","73.98"
"314260","MONSENHOR PAULO","MG","12/2020","83.90"
"314270","MONTALVÂNIA","MG","12/2020","85.76"
"314280","MONTE ALEGRE DE MINAS","MG","12/2020","83.13"
"314290","MONTE AZUL","MG","12/2020","81.35"
"314300","MONTE BELO","MG","12/2020","86.17"
"314310","MONTE CARMELO","MG","12/2020","70.98"
"314315","MONTE FORMOSO","MG","12/2020","73.68"
"314320","MONTE SANTO DE MINAS","MG","12/2020","85.15"
"314330","MONTES CLAROS","MG","12/2020","82.25"
"314340","MONTE SIÃO","MG","12/2020","77.84"
"314345","MONTEZUMA","MG","12/2020","78.70"
"314350","MORADA NOVA DE MINAS","MG","12/2020","75.30"
"314360","MORRO DA GARÇA","MG","12/2020","85.54"
"314370","MORRO DO PILAR","MG","12/2020","73.20"
"314380","MUNHOZ","MG","12/2020","81.03"
"314390","MURIAÉ","MG","12/2020","85.59"
"314400","MUTUM","MG","12/2020","75.64"
"314410","MUZAMBINHO","MG","12/2020","82.21"
"314420","NACIP RAYDAN","MG","12/2020","87.37"
"314430","NANUQUE","MG","12/2020","87.24"
"314435","NAQUE","MG","12/2020","89.96"
"314437","NATALÂNDIA","MG","12/2020","82.54"
"314440","NATÉRCIA","MG","12/2020","88.15"
"314450","NAZARENO","MG","12/2020","83.37"
"314460","NEPOMUCENO","MG","12/2020","78.84"
"314465","NINHEIRA","MG","12/2020","80.36"
"314467","NOVA BELÉM","MG","12/2020","78.36"
"314470","NOVA ERA","MG","12/2020","85.84"
"314480","NOVA LIMA","MG","12/2020","86.68"
"314490","NOVA MÓDICA","MG","12/2020","80.38"
"314500","NOVA PONTE","MG","12/2020","82.28"
"314505","NOVA PORTEIRINHA","MG","12/2020","83.57"
"314510","NOVA RESENDE","MG","12/2020","83.13"
"314520","NOVA SERRANA","MG","12/2020","83.70"
"314530","NOVO CRUZEIRO","MG","12/2020","89.58"
"314535","NOVO ORIENTE DE MINAS","MG","12/2020","85.12"
"314537","NOVORIZONTE","MG","12/2020","76.15"
"314540","OLARIA","MG","12/2020","79.68"
"314545","OLHOS-DÁGUA","MG","12/2020","86.97"
"314550","OLÍMPIO NORONHA","MG","12/2020","91.78"
"314560","OLIVEIRA","MG","12/2020","87.39"
"314570","OLIVEIRA FORTES","MG","12/2020","83.85"
"314580","ONÇA DE PITANGUI","MG","12/2020","84.25"
"314585","ORATÓRIOS","MG","12/2020","83.22"
"314587","ORIZÂNIA","MG","12/2020","76.45"
"314590","OURO BRANCO","MG","12/2020","87.51"
"314600","OURO FINO","MG","12/2020","80.93"
"314610","OURO PRETO","MG","12/2020","78.61"
"314620","OURO VERDE DE MINAS","MG","12/2020","89.34"
"314625","PADRE CARVALHO","MG","12/2020","84.59"
"314630","PADRE PARAÍSO","MG","12/2020","83.54"
"314640","PAINEIRAS","MG","12/2020","80.13"
"314650","PAINS","MG","12/2020","79.30"
"314655","PAI PEDRO","MG","12/2020","93.09"
"314660","PAIVA","MG","12/2020","86.91"
"314670","PALMA","MG","12/2020","90.53"
"314675","PALMÓPOLIS","MG","12/2020","78.08"
"314690","PAPAGAIOS","MG","12/2020","78.83"
"314700","PARACATU","MG","12/2020","84.48"
"314710","PARÁ DE MINAS","MG","12/2020","82.66"
"314720","PARAGUAÇU","MG","12/2020","77.12"
"314730","PARAISÓPOLIS","MG","12/2020","79.18"
"314740","PARAOPEBA","MG","12/2020","79.01"
"314750","PASSABÉM","MG","12/2020","71.19"
"314760","PASSA QUATRO","MG","12/2020","95.90"
"314770","PASSA TEMPO","MG","12/2020","93.61"
"314780","PASSA VINTE","MG","12/2020","80.78"
"314790","PASSOS","MG","12/2020","85.30"
"314795","PATIS","MG","12/2020","83.37"
